,date,avgtemp_BRE,avgtemp_COR,avgtemp_CVL,avgtemp_IDF,avgtemp_PDL,avgtemp_PAC,avgtemp_NOR,avgtemp_GES,avgtemp_NAQ,avgtemp_ARA,avgtemp_BFC,avgtemp_OCC,avgtemp_HDF
0,2010-01-01,6.0,10.0,2.0,2.0,4.0,5.0,4.0,-0.5541587589016768,4.886770006780951,-0.4742914979757085,0.3218650594341202,4.1293108189868555,2.0
1,2010-02-01,7.0,11.0,4.0,4.0,7.0,7.0,6.0,2.3016732540525484,6.088318918854613,1.5257085020242915,2.32186505943412,5.1293108189868555,4.0
2,2010-03-01,8.0,12.0,7.0,8.0,8.0,9.0,8.0,6.301673254052548,9.088318918854617,4.525708502024291,6.321865059434121,7.752873879324571,7.390217835476062
3,2010-04-01,12.0,15.0,12.0,12.0,13.0,14.0,11.0,11.0,13.781284573930217,10.262854251012143,11.660932529717062,13.75287387932457,11.0
4,2010-05-01,13.0,18.0,14.0,14.0,14.0,17.0,13.0,12.445841241098325,14.596902175852675,12.0,12.660932529717062,15.129310818986854,13.0
5,2010-06-01,18.0,21.0,19.0,19.0,19.0,21.0,17.0,17.855832012954224,19.59690217585268,16.26285425101215,17.66093252971706,19.752873879324568,18.0
6,2010-07-01,20.0,27.0,22.0,22.0,22.0,26.0,20.0,21.855832012954224,22.798451087926342,21.26285425101215,21.66093252971706,24.12931081898685,20.609782164523942
7,2010-08-01,18.0,26.0,20.0,20.0,20.0,24.0,18.0,19.0,21.28986783092828,19.0,19.0,22.752873879324568,18.609782164523942
8,2010-09-01,17.0,22.0,17.0,17.0,18.0,20.0,17.0,14.855832012954226,18.59690217585268,15.0,15.0,18.752873879324568,16.0
9,2010-10-01,14.0,18.0,13.0,13.0,14.0,15.0,13.0,10.445841241098323,15.088318918854617,10.262854251012143,10.66093252971706,14.129310818986854,12.390217835476065
10,2010-11-01,10.0,15.0,8.0,8.0,10.0,11.0,9.0,6.4458412410983215,9.886770006780953,5.262854251012146,6.660932529717059,9.129310818986854,7.390217835476062
11,2010-12-01,5.0,11.0,1.0,1.0,4.0,6.0,3.0,-1.0,4.886770006780951,-0.4742914979757085,-0.3390674702829399,4.50574775864914,0.3902178354760633
12,2011-01-01,8.0,10.0,5.0,5.0,7.0,7.0,6.0,3.3016732540525484,7.088318918854613,1.5257085020242915,3.32186505943412,6.1293108189868555,4.390217835476063
13,2011-02-01,10.0,11.0,7.0,7.0,10.0,9.0,8.0,4.445841241098323,9.395353263779011,4.525708502024291,5.660932529717059,8.129310818986854,7.0
14,2011-03-01,10.0,12.0,10.0,10.0,11.0,11.0,9.0,8.855832012954227,11.289867830928275,7.262854251012146,8.660932529717059,10.376436939662284,9.0
15,2011-04-01,14.0,16.0,15.0,16.0,15.0,16.0,14.0,14.855832012954226,16.491416743001942,13.0,14.660932529717062,16.376436939662284,15.0
16,2011-05-01,14.0,20.0,16.0,16.0,16.0,20.0,14.0,17.0,18.491416743001942,16.0,16.339067470282938,19.376436939662284,15.609782164523935
17,2011-06-01,16.0,23.0,18.0,18.0,18.0,22.0,16.0,18.0,19.28986783092828,17.0,17.0,19.752873879324568,17.0
18,2011-07-01,17.0,25.0,18.0,18.0,18.0,23.0,17.0,17.0,19.59690217585268,17.0,17.0,21.129310818986852,17.0
19,2011-08-01,18.0,26.0,20.0,20.0,20.0,25.0,18.0,20.0,21.98283348600388,20.0,20.0,23.752873879324568,19.0
20,2011-09-01,18.0,24.0,19.0,19.0,19.0,22.0,18.0,17.855832012954224,20.28986783092828,17.26285425101215,17.66093252971706,21.129310818986852,18.0
21,2011-10-01,16.0,19.0,15.0,15.0,17.0,18.0,15.0,12.445841241098325,17.088318918854615,12.262854251012143,12.660932529717062,17.129310818986855,14.0
22,2011-11-01,14.0,16.0,12.0,11.0,14.0,14.0,12.0,8.445841241098321,14.088318918854617,9.262854251012143,9.66093252971706,13.129310818986854,10.390217835476065
23,2011-12-01,11.0,13.0,8.0,8.0,11.0,9.0,10.0,5.445841241098323,10.19380435170535,3.788562753036437,5.3218650594341215,8.50574775864914,7.390217835476062
24,2012-01-01,9.0,11.0,7.0,7.0,9.0,8.0,8.0,4.301673254052548,8.395353263779013,2.5257085020242918,4.3218650594341215,7.1293108189868555,6.390217835476062
25,2012-02-01,7.0,8.0,2.0,3.0,4.0,5.0,4.0,-0.10831751780335347,3.1938043517053503,-1.7371457489878543,-0.01720241084881969,2.505747758649139,3.0
26,2012-03-01,12.0,14.0,11.0,12.0,12.0,13.0,11.0,10.301673254052547,12.289867830928275,8.262854251012143,9.66093252971706,11.75287387932457,11.0
27,2012-04-01,10.0,15.0,10.0,10.0,10.0,14.0,10.0,10.0,11.289867830928275,9.0,9.66093252971706,11.505747758649141,9.0
28,2012-05-01,14.0,19.0,16.0,16.0,15.0,18.0,14.0,16.0,17.289867830928277,15.0,15.0,17.376436939662284,15.0
29,2012-06-01,16.0,24.0,17.0,17.0,18.0,23.0,16.0,17.144167987045776,19.982833486003877,18.73714574898785,18.0,21.752873879324564,16.0
30,2012-07-01,18.0,26.0,19.0,19.0,19.0,25.0,17.0,18.590009228144094,20.491416743001942,19.0,18.66093252971706,22.12931081898685,18.0
31,2012-08-01,19.0,28.0,21.0,21.0,21.0,26.0,19.0,20.590009228144094,22.98283348600388,21.0,20.66093252971706,24.752873879324568,20.0
32,2012-09-01,17.0,23.0,17.0,17.0,18.0,21.0,17.0,16.0,19.28986783092828,15.262854251012143,16.0,19.129310818986852,16.39021783547606
33,2012-10-01,15.0,20.0,14.0,14.0,15.0,17.0,14.0,11.855832012954226,16.289867830928277,12.262854251012143,12.660932529717062,16.129310818986855,13.0
34,2012-11-01,11.0,16.0,9.0,9.0,11.0,13.0,10.0,7.0,11.395353263779011,7.262854251012146,7.660932529717059,11.129310818986854,8.390217835476061
35,2012-12-01,10.0,12.0,7.0,7.0,10.0,8.0,9.0,3.8916824821966474,9.19380435170535,2.7885627530364374,4.3218650594341215,7.1293108189868555,6.390217835476062
36,2013-01-01,8.0,11.0,4.0,4.0,7.0,7.0,6.0,1.5900092281440985,6.886770006780951,1.5257085020242915,2.32186505943412,6.1293108189868555,3.3902178354760637
37,2013-02-01,7.0,9.0,4.0,4.0,6.0,6.0,5.0,1.4458412410983232,6.886770006780951,-0.4742914979757085,1.32186505943412,5.1293108189868555,3.3902178354760637
38,2013-03-01,8.0,12.0,7.0,6.0,8.0,10.0,6.0,4.445841241098323,10.088318918854617,5.262854251012146,5.660932529717059,9.129310818986854,5.0
39,2013-04-01,10.0,16.0,11.0,11.0,11.0,14.0,10.0,10.0,12.289867830928275,10.0,10.66093252971706,11.75287387932457,9.609782164523935
40,2013-05-01,13.0,18.0,13.0,13.0,14.0,16.0,12.0,12.0,13.596902175852675,11.0,11.660932529717062,14.129310818986854,12.0
41,2013-06-01,16.0,22.0,18.0,18.0,18.0,21.0,16.0,17.445841241098325,18.0,17.0,17.66093252971706,19.129310818986852,17.0
42,2013-07-01,21.0,26.0,23.0,23.0,23.0,26.0,20.0,22.855832012954224,24.491416743001942,22.0,22.66093252971706,25.376436939662284,21.60978216452394
43,2013-08-01,20.0,27.0,22.0,22.0,22.0,26.0,20.0,21.0,23.289867830928284,20.0,21.0,24.12931081898685,21.0
44,2013-09-01,19.0,25.0,19.0,19.0,20.0,22.0,19.0,17.445841241098325,21.28986783092828,17.26285425101215,17.66093252971706,20.752873879324568,18.0
45,2013-10-01,17.0,22.0,16.0,16.0,18.0,19.0,16.0,14.445841241098325,18.088318918854615,14.262854251012143,14.660932529717062,17.752873879324568,15.0
46,2013-11-01,12.0,16.0,8.0,9.0,11.0,12.0,10.0,6.4458412410983215,10.19380435170535,5.262854251012146,6.321865059434121,9.505747758649141,8.390217835476061
47,2013-12-01,11.0,13.0,7.0,7.0,9.0,10.0,9.0,5.445841241098323,9.395353263779011,3.5257085020242918,5.3218650594341215,8.50574775864914,7.390217835476062
48,2014-01-01,11.0,13.0,8.0,8.0,10.0,10.0,9.0,5.445841241098323,10.395353263779011,4.525708502024291,6.321865059434121,9.129310818986854,7.390217835476062
49,2014-02-01,10.0,13.0,8.0,8.0,10.0,10.0,9.0,6.4458412410983215,9.886770006780953,4.525708502024291,6.321865059434121,8.50574775864914,7.390217835476062
50,2014-03-01,11.0,14.0,12.0,12.0,12.0,13.0,11.0,10.445841241098323,12.596902175852675,8.525708502024292,10.0,11.75287387932457,11.0
51,2014-04-01,13.0,17.0,14.0,15.0,14.0,17.0,13.0,14.855832012954226,15.491416743001938,13.0,14.0,15.75287387932457,14.0
52,2014-05-01,15.0,20.0,16.0,16.0,16.0,19.0,15.0,16.0,16.798451087926342,14.0,15.660932529717062,17.129310818986855,16.0
53,2014-06-01,19.0,25.0,21.0,21.0,21.0,25.0,19.0,21.0,22.491416743001942,20.73714574898785,21.0,23.752873879324568,19.609782164523942
54,2014-07-01,21.0,26.0,22.0,23.0,23.0,25.0,21.0,22.0,23.10548543285073,20.0,21.0,23.12931081898685,22.0
55,2014-08-01,19.0,27.0,20.0,20.0,21.0,25.0,19.0,19.445841241098325,22.289867830928284,19.73714574898785,19.66093252971706,23.12931081898685,19.0
56,2014-09-01,21.0,25.0,20.0,20.0,22.0,23.0,20.0,19.301673254052552,23.088318918854608,18.26285425101215,19.32186505943412,22.376436939662284,20.0
57,2014-10-01,17.0,22.0,17.0,17.0,19.0,20.0,17.0,15.445841241098325,20.088318918854615,15.525708502024292,16.321865059434117,19.752873879324568,16.0
58,2014-11-01,13.0,19.0,12.0,12.0,14.0,15.0,12.0,9.445841241098323,14.395353263779011,9.525708502024292,10.66093252971706,14.129310818986854,11.0
59,2014-12-01,10.0,14.0,6.0,6.0,9.0,10.0,9.0,4.445841241098323,8.395353263779013,3.5257085020242918,4.660932529717059,7.5057477586491395,6.390217835476062
60,2015-01-01,10.0,13.0,6.0,6.0,9.0,9.0,8.0,3.4458412410983232,8.19380435170535,2.5257085020242918,3.66093252971706,7.5057477586491395,6.0
61,2015-02-01,8.0,11.0,6.0,6.0,7.0,9.0,7.0,4.035850469242422,7.395353263779013,2.5257085020242918,4.3218650594341215,5.882184698311424,6.390217835476062
62,2015-03-01,11.0,14.0,11.0,10.0,11.0,13.0,10.0,9.0,11.596902175852675,8.525708502024292,9.66093252971706,11.129310818986854,9.0
63,2015-04-01,14.0,18.0,14.0,14.0,15.0,17.0,13.0,12.855832012954226,15.982833486003878,12.525708502024292,13.660932529717062,15.75287387932457,13.0
64,2015-05-01,15.0,23.0,17.0,16.0,17.0,22.0,15.0,16.144167987045776,18.491416743001942,17.0,16.660932529717062,20.129310818986852,15.0
65,2015-06-01,19.0,27.0,21.0,21.0,21.0,27.0,19.0,20.590009228144094,23.184382398077545,22.0,21.66093252971706,25.12931081898685,19.609782164523942
66,2015-07-01,20.0,32.0,24.0,24.0,23.0,30.0,21.0,24.144167987045776,25.385931310151204,26.0,25.66093252971706,27.752873879324568,21.60978216452394
67,2015-08-01,20.0,29.0,24.0,23.0,23.0,28.0,20.0,23.55415875890168,24.491416743001942,23.26285425101215,24.66093252971706,25.752873879324568,21.60978216452394
68,2015-09-01,16.0,25.0,17.0,16.0,18.0,23.0,16.0,15.590009228144098,19.28986783092828,16.26285425101215,16.660932529717062,20.129310818986852,15.609782164523935
69,2015-10-01,15.0,20.0,14.0,13.0,16.0,18.0,14.0,11.590009228144098,16.579735661856553,12.262854251012143,12.660932529717062,16.752873879324568,13.0
70,2015-11-01,14.0,17.0,13.0,12.0,15.0,15.0,12.0,9.590009228144098,14.886770006780953,10.525708502024292,10.66093252971706,14.129310818986854,11.0
71,2015-12-01,13.0,14.0,10.0,9.0,13.0,13.0,11.0,8.0,13.088318918854617,7.788562753036437,8.660932529717059,12.129310818986854,9.390217835476065
72,2016-01-01,9.0,13.0,7.0,6.0,9.0,10.0,7.0,4.445841241098323,9.886770006780953,5.52570850202429,6.321865059434121,9.129310818986854,6.0
73,2016-02-01,9.0,14.0,8.0,7.0,9.0,11.0,7.0,5.5900092281440985,9.088318918854617,6.262854251012146,6.660932529717059,9.505747758649141,7.0
74,2016-03-01,9.0,14.0,9.0,8.0,10.0,12.0,8.0,6.5900092281440985,10.088318918854617,7.262854251012146,7.660932529717059,10.129310818986854,8.0
75,2016-04-01,11.0,18.0,12.0,12.0,12.0,16.0,11.0,11.0,12.596902175852675,11.0,11.660932529717062,13.129310818986854,11.0
76,2016-05-01,15.0,20.0,16.0,16.0,16.0,19.0,15.0,16.0,16.596902175852676,14.262854251012143,15.0,16.752873879324568,16.0
77,2016-06-01,17.0,24.0,19.0,19.0,19.0,23.0,17.0,19.0,19.28986783092828,19.0,18.66093252971706,20.505747758649143,17.609782164523942
78,2016-07-01,19.0,27.0,22.0,21.0,21.0,26.0,19.0,21.55415875890168,22.491416743001942,22.0,22.0,24.12931081898685,20.0
79,2016-08-01,20.0,26.0,24.0,23.0,23.0,26.0,21.0,21.855832012954224,23.491416743001942,22.0,22.66093252971706,24.12931081898685,21.60978216452394
80,2016-09-01,19.0,25.0,21.0,21.0,21.0,24.0,19.0,20.144167987045776,21.28986783092828,19.26285425101215,20.66093252971706,22.12931081898685,20.0
81,2016-10-01,14.0,20.0,13.0,13.0,14.0,18.0,13.0,11.445841241098325,15.579735661856553,11.262854251012143,11.660932529717062,16.129310818986855,12.390217835476065
82,2016-11-01,11.0,16.0,9.0,9.0,11.0,13.0,10.0,7.0,12.088318918854617,7.52570850202429,7.660932529717059,11.505747758649141,8.390217835476061
83,2016-12-01,11.0,14.0,6.0,6.0,9.0,11.0,8.0,4.445841241098323,10.088318918854617,4.525708502024291,5.0,10.129310818986854,6.390217835476062
84,2017-01-01,8.0,10.0,4.0,3.0,6.0,8.0,6.0,0.3016732540525482,6.395353263779013,0.5257085020242915,0.9827975891511804,5.50574775864914,3.3902178354760637
85,2017-02-01,10.0,14.0,9.0,8.0,10.0,12.0,9.0,7.0,11.088318918854618,6.52570850202429,7.660932529717059,10.75287387932457,8.0
86,2017-03-01,12.0,16.0,12.0,12.0,12.0,14.0,11.0,11.0,13.289867830928275,9.525708502024292,10.66093252971706,13.129310818986854,11.0
87,2017-04-01,11.0,16.0,11.0,11.0,12.0,15.0,11.0,10.0,12.491416743001938,10.262854251012143,10.66093252971706,13.75287387932457,10.609782164523935
88,2017-05-01,15.0,19.0,17.0,16.0,17.0,18.0,15.0,16.0,17.491416743001942,14.525708502024292,15.660932529717062,17.752873879324568,15.609782164523935
89,2017-06-01,18.0,24.0,21.0,21.0,21.0,24.0,19.0,21.0,21.491416743001942,20.26285425101215,21.66093252971706,23.12931081898685,19.609782164523942
90,2017-07-01,21.0,30.0,23.0,23.0,23.0,29.0,20.0,22.28833597409155,23.692965655075604,24.0,22.66093252971706,26.12931081898685,21.0
91,2017-08-01,20.0,31.0,24.0,24.0,23.0,29.0,21.0,22.84249473299323,24.491416743001942,25.0,24.0,26.12931081898685,21.60978216452394
92,2017-09-01,16.0,22.0,17.0,18.0,18.0,21.0,16.0,16.144167987045776,18.088318918854615,16.26285425101215,16.321865059434117,19.129310818986852,17.0
93,2017-10-01,16.0,21.0,16.0,17.0,17.0,20.0,16.0,14.28833597409155,17.289867830928277,15.262854251012143,14.660932529717062,17.752873879324568,15.0
94,2017-11-01,12.0,15.0,9.0,10.0,11.0,13.0,11.0,7.590009228144098,10.886770006780953,6.52570850202429,7.660932529717059,10.129310818986854,9.390217835476065
95,2017-12-01,10.0,11.0,7.0,7.0,9.0,9.0,9.0,4.5900092281440985,8.19380435170535,2.5257085020242918,4.3218650594341215,7.1293108189868555,7.0
