,region,with_gdp,trend_model,lag,periods,MAE,RMSE,Max_error,MASE
0,PDL,False,Holt,1,2,29.113312516614034,34.081280027338636,0.08072499362453857,8.370185340888524
1,PDL,False,Holt,1,3,28.18292009403253,37.95942856587662,0.11408769543747474,8.86115501603818
2,PDL,False,Holt,1,4,24.91805316026438,29.98256756006981,0.07885011438615622,9.383367364899541
3,PDL,False,Holt,1,5,48.690807919098724,56.87989067839031,0.11411818330190937,7.654216472721224
4,PDL,False,Holt,1,6,85.77210802506356,90.62066571554001,0.17779993815008133,7.2806382359410104
5,PDL,False,Holt,2,2,26.861515325661795,31.787606976176683,0.07913700321339413,8.44034382346388
6,PDL,False,Holt,2,3,27.98731695925964,39.778494778644834,0.11685522544639317,8.860680567430276
7,PDL,False,Holt,2,4,24.514338391379493,29.451815727424126,0.07611429026396759,9.3256659979506
8,PDL,False,Holt,2,5,48.02008652856597,56.22673397639671,0.11320930611591495,7.611266353168419
9,PDL,False,Holt,2,6,86.1907750540811,91.0544759462241,0.17869573895024954,7.304716104845337
10,PDL,False,Holt,3,2,26.796351984904835,29.93130655841182,0.06919807742244197,8.235934731744344
11,PDL,False,Holt,3,3,31.24636840979571,42.49683850228294,0.11997565532711728,8.980643205620833
12,PDL,False,Holt,3,4,25.4747857830037,30.435248195060495,0.08216981931997319,9.271506921245168
13,PDL,False,Holt,3,5,49.32707031127003,57.39221757153522,0.11604799770793373,7.7177746764247654
14,PDL,False,Holt,3,6,85.99859796691065,90.99901293759679,0.17805226608962924,7.270557162210345
15,PDL,False,Holt,4,2,26.79635198461023,29.931306558404085,0.06919807742373041,8.235934731743392
16,PDL,False,Holt,4,3,30.392097813389885,41.89897641019157,0.12321955002052869,9.009883777253798
17,PDL,False,Holt,4,4,24.664942749513273,29.78428968634153,0.07922305301993476,9.25023822894831
18,PDL,False,Holt,4,5,49.285857556038,57.69680396144693,0.12468757346904573,7.741400479164747
19,PDL,False,Holt,4,6,85.37623129253916,90.35916079782295,0.1803674970916062,7.272170361127729
20,PDL,False,Holt,5,2,26.796351984610354,29.931306558402063,0.06919807742371237,8.235934731743367
21,PDL,False,Holt,5,3,28.92423262510907,41.75302337053305,0.13523471410336788,8.86157162486261
22,PDL,False,Holt,5,4,28.17610732808023,34.69069495827019,0.08743503042014633,9.399651676736312
23,PDL,False,Holt,5,5,50.30974148973237,56.56397554811817,0.11325673454472455,8.086350934527173
24,PDL,False,Holt,5,6,85.24884482132848,90.35150611814693,0.1870218372438659,7.461204225706838
25,PDL,False,Holt,6,2,26.79635198460812,29.93130655840031,0.06919807742371051,8.23593473174335
26,PDL,False,Holt,6,3,28.11276008110929,34.88209680079605,0.10101644314620424,8.721301349623376
27,PDL,False,Holt,6,4,28.103731031829852,34.037015766649056,0.09078331020323081,9.272341802992067
28,PDL,False,Holt,6,5,49.687552998709634,55.478065081733185,0.1089425568254985,8.070916082595687
29,PDL,False,Holt,6,6,85.24431546645502,89.60663201725141,0.175488945916856,7.545226015838619
30,PDL,False,Holt,7,2,26.796351984608595,29.931306558400856,0.06919807742371303,8.235934731743361
31,PDL,False,Holt,7,3,28.112760081175797,34.88209680085927,0.1010164431464303,8.721301349624163
32,PDL,False,Holt,7,4,23.301500386240704,29.4124480579099,0.09416003048314016,9.311768274672326
33,PDL,False,Holt,7,5,48.72778477391021,53.74605748999236,0.10460051250328362,7.89136313780226
34,PDL,False,Holt,7,6,85.20326631750385,89.18738299913187,0.1766143659334669,7.4129225666630205
35,PDL,False,Holt,8,2,26.796351984608577,29.931306558400824,0.06919807742371281,8.235934731743354
36,PDL,False,Holt,8,3,28.1127600811725,34.88209680085585,0.101016443146417,8.721301349624252
37,PDL,False,Holt,8,4,29.294229697853748,36.70015611539112,0.10960505545537476,9.553539906923428
38,PDL,False,Holt,8,5,48.36025176397522,54.651931210587556,0.10657422061486305,7.567045635916438
39,PDL,False,Holt,8,6,85.63772480123252,90.02141219564025,0.18105292016505314,7.407303539269075
40,PDL,False,Holt,9,2,26.796351984609355,29.931306558401467,0.06919807742371392,8.235934731743363
41,PDL,False,Holt,9,3,28.112760081169522,34.88209680085267,0.10101644314640841,8.72130134962424
42,PDL,False,Holt,9,4,25.753542316884353,31.22557359821775,0.08439106043972074,9.702146915556716
43,PDL,False,Holt,9,5,50.19808997289209,56.94496042596823,0.11727043261179874,7.643548843010759
44,PDL,False,Holt,9,6,87.52609183228306,92.13972584193657,0.17825384967781624,7.498090803473763
45,PDL,False,Holt,10,2,26.79635198460862,29.931306558400863,0.06919807742371281,8.235934731743347
46,PDL,False,Holt,10,3,28.112760081169387,34.88209680085279,0.10101644314640966,8.72130134962421
47,PDL,False,Holt,10,4,25.75354231679695,31.225573598106198,0.08439106043928372,9.702146915556284
48,PDL,False,Holt,10,5,50.56325142292348,61.16955469300079,0.13950678723802926,7.25209610051467
49,PDL,False,Holt,10,6,86.50230335655321,90.52186229775198,0.16659731114008186,7.425981914786187
50,PDL,False,Holt,11,2,26.796351984608048,29.931306558400387,0.06919807742371215,8.235934731743342
51,PDL,False,Holt,11,3,28.112760081172283,34.882096800855685,0.10101644314641756,8.72130134962424
52,PDL,False,Holt,11,4,25.75354231682313,31.22557359813993,0.0843910604393966,9.702146915556506
53,PDL,False,Holt,11,5,42.98604809713637,50.1777068127227,0.11401359170996042,7.260854593856228
54,PDL,False,Holt,11,6,86.39575384522742,91.20924173911449,0.16608350685549908,7.3950560455613665
55,PDL,False,Holt,12,2,26.992877425471832,30.20269742714078,0.06807754444634959,8.278792358274755
