,FR-IDF_NC_FR,FR-CVL_NC_FR,FR-BFC_NC_FR,FR-NOR_NC_FR,FR-HDF_NC_FR,FR-GES_NC_FR,FR-PDL_NC_FR,FR-BRE_NC_FR,FR-NAQ_NC_FR,FR-OCC_NC_FR,FR-ARA_NC_FR,FR-PAC_NC_FR,FR-COR_NC_FR,FR-IDF_NC_ET,FR-CVL_NC_ET,FR-BFC_NC_ET,FR-NOR_NC_ET,FR-HDF_NC_ET,FR-GES_NC_ET,FR-PDL_NC_ET,FR-BRE_NC_ET,FR-NAQ_NC_ET,FR-OCC_NC_ET,FR-ARA_NC_ET,FR-PAC_NC_ET,FR-COR_NC_ET,FR-IDF_NH_FR,FR-CVL_NH_FR,FR-BFC_NH_FR,FR-NOR_NH_FR,FR-HDF_NH_FR,FR-GES_NH_FR,FR-PDL_NH_FR,FR-BRE_NH_FR,FR-NAQ_NH_FR,FR-OCC_NH_FR,FR-ARA_NH_FR,FR-PAC_NH_FR,FR-COR_NH_FR,FR-IDF_NH_ET,FR-CVL_NH_ET,FR-BFC_NH_ET,FR-NOR_NH_ET,FR-HDF_NH_ET,FR-GES_NH_ET,FR-PDL_NH_ET,FR-BRE_NH_ET,FR-NAQ_NH_ET,FR-OCC_NH_ET,FR-ARA_NH_ET,FR-PAC_NH_ET,FR-COR_NH_ET,NbDaysOff,FR-ARA_AvgTemp,FR-BFC_AvgTemp,FR-BRE_AvgTemp,FR-CVL_AvgTemp,FR-COR_AvgTemp,FR-GES_AvgTemp,FR-HDF_AvgTemp,FR-IDF_AvgTemp,FR-NOR_AvgTemp,FR-NAQ_AvgTemp,FR-OCC_AvgTemp,FR-PDL_AvgTemp,FR-PAC_AvgTemp,FR-ARA-A-NB,FR-BFC-A-NB,FR-BRE-A-NB,FR-CVL-A-NB,FR-COR-A-NB,FR-GES-A-NB,FR-HDF-A-NB,FR-IDF-A-NB,FR-NOR-A-NB,FR-NAQ-A-NB,FR-OCC-A-NB,FR-PDL-A-NB,FR-PAC-A-NB,FR-ARA-H-NB,FR-BFC-H-NB,FR-BRE-H-NB,FR-CVL-H-NB,FR-COR-H-NB,FR-GES-H-NB,FR-HDF-H-NB,FR-IDF-H-NB,FR-NOR-H-NB,FR-NAQ-H-NB,FR-OCC-H-NB,FR-PDL-H-NB,FR-PAC-H-NB
2013-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2530.6,309.15,338.7,411.19,540.1,704.14,384.69,407.63,809.65,664.06,1035.01,757.41,42.36,2486.9,43.37,69.46,66.82,117.95,230.86,28.89,34.12,78.69,130.09,180.64,262.15,3.86,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2013-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.19,265.46,308.7,332.03,460.85,862.22,315.24,332.43,674.27,591.4,1243.7,654.32,35.64,2810.03,34.07,66.14,49.51,112.25,297.14,25.8,24.89,60.9,109.99,415.49,264.16,2.87,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2268.61,239.85,285.88,305.83,420.53,556.18,324.5,301.63,593.58,556.49,1187.93,693.02,28.39,2167.88,28.92,63.02,42.17,73.15,156.67,25.14,22.04,55.76,90.82,565.42,239.07,2.35,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2064.22,245.25,324.62,354.25,455.49,579.09,345.56,344.61,655.15,631.08,1507.82,806.09,28.59,2117.63,35.0,80.73,41.39,89.25,180.85,26.44,24.26,54.55,122.33,554.15,256.14,1.87,8,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2508.9,305.69,369.94,421.74,526.04,650.62,388.31,400.29,862.91,738.63,1559.37,970.14,43.66,2710.27,48.87,92.03,83.37,125.56,231.8,30.62,31.77,79.83,128.17,598.23,411.07,3.91,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-04,93.89,50.46,30.37,135.43,69.3,48.78,515.32,437.51,763.01,682.27,218.6,581.31,50.83,127.12,19.4,27.03,60.34,92.15,50.15,50.02,52.39,121.23,148.84,70.02,251.13,16.86,2444.05,376.75,398.63,497.43,568.21,729.83,474.2,504.44,1003.92,905.16,1199.98,1047.31,124.5,3479.51,96.58,152.62,144.91,191.94,346.59,43.02,72.25,160.51,324.44,379.53,746.29,33.74,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-05,114.39,105.24,96.04,182.4,96.74,107.16,670.45,598.3,1028.1,1157.77,519.94,822.61,107.35,165.46,44.29,85.43,103.46,102.66,123.9,81.5,104.08,209.65,288.74,178.6,393.87,60.51,2476.79,411.12,435.46,540.12,604.44,805.52,510.63,574.92,1156.84,1069.89,1220.24,1300.31,274.68,3621.43,136.68,184.93,197.46,219.56,398.11,58.58,106.13,204.47,478.54,285.66,912.17,90.8,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-06,86.96,120.19,143.08,220.74,109.55,134.9,669.87,584.09,1245.88,1457.96,640.55,909.7,239.1,155.44,103.29,225.37,257.88,136.97,259.64,265.45,297.51,682.76,986.94,529.78,995.98,249.92,2507.01,440.27,481.59,560.33,620.68,840.13,605.65,583.76,1215.38,1163.75,1413.66,1304.2,320.36,3634.48,167.45,226.26,259.28,226.48,437.79,83.6,145.44,253.18,459.42,390.46,1072.62,129.99,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-07,113.21,269.39,328.42,523.14,320.66,320.47,2837.29,2267.55,5233.0,5276.23,1984.7,2655.16,776.97,342.45,295.55,446.0,466.4,293.76,379.2,715.86,931.77,2175.28,2304.7,1622.36,1959.83,424.3,2203.83,446.0,474.66,569.78,559.23,781.1,594.33,635.62,1381.54,1347.71,1637.9,1482.9,295.24,4181.8,225.83,309.55,294.07,278.89,561.11,96.42,197.69,416.32,629.52,537.85,1352.66,161.91,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-08,117.46,305.6,430.14,738.95,390.68,397.11,3917.86,3159.23,7660.93,7897.22,2784.01,3865.45,1019.41,435.18,366.7,475.17,477.18,278.61,386.33,855.66,1128.14,2542.41,2185.05,1522.93,1928.94,595.35,2062.08,411.9,496.47,635.69,539.61,823.46,693.86,802.96,1765.29,1788.41,1937.75,1881.81,418.3,4282.96,268.23,318.98,377.57,320.32,641.1,111.81,270.53,475.26,658.91,597.36,1450.64,193.3,12,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-09,116.7,75.98,82.97,157.51,81.97,105.95,504.24,506.89,1137.13,1193.59,402.78,770.88,228.67,135.45,64.6,125.84,123.67,99.72,156.42,118.29,194.51,679.28,817.78,292.95,930.58,244.15,2359.29,406.01,453.3,540.47,599.57,844.12,560.19,599.7,1232.35,1146.64,1365.69,1198.67,338.42,3433.42,157.99,224.09,240.04,235.87,473.35,71.29,148.24,305.09,539.79,377.5,1045.04,145.2,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2574.29,372.56,424.47,501.4,600.6,790.68,455.22,506.21,1064.04,975.77,1231.85,977.46,144.69,3533.59,94.3,152.6,138.32,193.72,407.16,44.12,71.8,162.2,298.85,269.91,679.4,34.31,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2443.96,283.81,334.0,388.39,517.6,668.95,369.06,386.64,739.52,618.71,950.75,645.62,32.83,2353.62,39.16,85.04,71.05,130.65,227.48,29.31,36.44,87.32,120.8,172.88,268.57,3.1,11,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2014-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2512.25,258.78,315.69,329.85,463.59,890.55,334.04,337.62,673.83,593.8,1289.67,666.35,28.9,2797.11,33.34,85.05,53.92,127.88,336.9,23.77,29.74,83.53,106.28,414.63,287.85,2.43,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2304.2,240.39,294.08,304.43,448.16,546.4,329.26,315.62,605.74,570.59,1266.02,707.14,26.14,2214.4,33.19,66.83,47.37,86.53,164.37,24.24,23.8,58.3,92.03,620.94,242.58,1.68,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2139.99,277.76,345.41,353.56,454.48,586.66,340.66,363.63,714.95,643.72,1614.34,847.34,27.83,2148.12,28.67,99.28,50.51,107.03,206.46,25.8,26.84,56.35,117.06,650.88,254.36,1.83,8,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2408.12,313.86,371.56,423.32,526.18,660.85,408.92,459.98,858.19,725.93,1578.61,919.63,39.65,2676.66,49.18,101.11,85.72,130.5,232.59,36.23,41.21,95.03,150.31,637.07,410.65,3.16,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-04,63.66,58.43,35.69,187.71,73.38,58.01,588.65,525.76,856.05,736.07,271.96,636.75,52.31,158.37,20.13,34.1,75.42,66.47,63.74,50.14,61.3,140.95,256.02,100.99,350.1,26.27,2446.68,376.85,391.84,516.97,567.86,705.65,503.66,528.89,1095.73,927.92,1252.02,1097.06,119.8,3247.12,82.88,158.7,142.0,209.56,351.25,50.63,70.56,177.27,335.23,422.9,710.16,22.2,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-05,80.94,136.81,117.71,250.71,130.58,119.92,758.54,699.69,1154.73,1251.85,632.52,900.47,119.7,201.98,50.52,117.72,117.06,109.28,156.33,81.62,122.77,255.03,520.84,246.78,566.96,92.28,2475.83,430.12,469.6,582.96,598.49,845.69,549.78,622.58,1217.67,1133.95,1329.26,1293.66,300.9,3660.2,131.06,215.9,191.72,237.13,434.93,72.29,106.85,214.16,481.45,323.44,924.14,83.75,14,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-06,106.34,108.34,135.7,198.57,108.52,128.7,668.7,618.88,1263.29,1434.59,649.32,835.76,257.21,168.59,108.47,198.2,195.46,131.66,218.22,245.88,307.25,740.22,929.36,482.27,892.87,201.61,2633.88,432.62,496.13,559.76,621.91,830.0,613.5,610.68,1231.64,1122.59,1469.87,1279.79,334.18,3677.34,150.37,225.57,228.42,223.66,424.61,92.05,144.85,288.79,462.71,438.74,1153.52,126.66,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-07,118.23,301.33,411.69,621.4,332.0,348.43,3097.39,2687.67,5826.28,5500.43,2261.63,2846.54,844.63,328.39,304.22,497.69,485.96,277.56,444.14,822.49,971.03,2272.02,2365.89,1609.79,1880.31,445.82,2279.82,457.29,492.52,585.99,574.7,786.9,645.58,686.91,1454.35,1412.64,1715.18,1529.94,344.29,4495.57,243.36,346.18,306.2,302.81,584.91,110.16,210.95,472.3,624.43,685.71,1458.21,173.04,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-08,95.61,329.52,500.17,763.65,413.31,418.65,3945.39,3246.41,7909.18,7755.66,3024.22,3871.68,1006.11,350.9,329.4,457.4,464.64,287.6,438.0,825.3,981.03,2357.24,1947.78,1351.03,1614.38,603.99,1994.61,447.29,497.55,627.74,538.66,837.19,724.98,837.97,1837.6,1747.44,1893.62,1833.5,452.52,4354.24,274.84,353.41,327.26,298.81,607.37,123.27,247.36,490.26,636.18,666.0,1530.18,191.87,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-09,59.38,77.83,94.29,144.25,74.47,110.1,504.43,519.92,1179.78,1248.15,417.15,768.7,287.54,113.63,63.11,114.51,121.21,88.39,144.42,130.05,192.87,672.12,777.67,296.91,948.69,207.52,2502.55,427.46,479.94,522.92,626.41,844.9,565.88,643.41,1280.48,1184.16,1423.34,1237.38,357.66,3518.41,171.23,235.59,216.49,235.57,465.66,85.91,160.17,310.7,552.22,394.36,1119.17,148.95,9,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2679.42,406.44,441.6,490.25,620.27,804.24,478.87,520.09,1129.34,971.21,1243.53,1022.09,165.81,3438.89,95.07,169.83,122.11,190.43,390.24,52.82,72.39,194.79,328.14,263.49,695.87,39.43,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2265.0,275.62,345.31,365.94,544.02,657.61,379.99,382.65,756.47,635.11,969.39,694.38,36.17,2203.08,41.86,94.74,59.69,126.17,230.9,30.87,33.41,88.82,120.38,179.41,268.61,2.66,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2015-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2349.27,276.63,339.43,358.46,519.53,877.51,357.97,363.43,732.44,620.83,1212.1,673.98,28.84,2198.37,35.66,80.3,45.02,128.29,317.11,25.52,26.32,85.57,103.99,419.5,256.89,2.26,10,,,,,,,,,,,,,,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2202.84,249.22,294.43,306.14,475.35,536.84,343.05,324.65,608.74,559.54,1321.83,710.98,22.78,1863.85,30.23,74.77,36.74,101.32,155.78,26.16,23.2,66.21,101.66,587.92,245.31,1.92,11,5.525708502024291,6.321865059434121,9.0,7.0,13.0,4.445839921425197,6.0,6.0,7.0,9.886770006780951,9.129310818986854,9.0,10.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2033.36,278.25,370.57,358.02,489.22,619.87,378.52,390.66,746.18,683.82,1702.25,879.88,29.56,1875.41,27.49,89.88,51.32,122.17,206.2,32.8,25.61,63.24,132.31,717.36,261.6,2.44,9,6.262854251012146,6.66093252971706,9.0,8.0,14.0,5.590010441701199,7.0,7.0,7.0,9.088318918854615,9.50574775864914,9.0,11.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2421.03,351.41,395.11,444.35,570.46,708.78,462.74,478.7,910.85,780.1,1662.09,999.36,41.25,2653.72,55.47,127.83,90.16,154.82,286.31,46.41,51.5,128.64,219.97,796.69,510.61,6.07,10,7.262854251012146,7.66093252971706,9.0,9.0,14.0,6.590010441701199,8.0,8.0,8.0,10.088318918854615,10.129310818986854,10.0,12.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-04,84.47,54.97,42.98,168.69,87.42,63.9,568.08,475.79,861.88,794.73,270.78,600.34,56.14,130.94,21.46,39.93,69.04,56.25,43.32,49.28,62.54,158.93,156.92,121.05,222.43,28.22,2304.61,397.57,407.86,487.04,585.65,725.51,528.3,538.18,1092.72,953.71,1322.2,1107.33,132.94,2625.42,74.89,137.42,117.67,193.94,314.83,51.81,59.05,152.64,287.3,389.94,614.1,23.35,10,11.0,11.66093252971706,11.0,12.0,18.0,11.0,11.0,12.0,11.0,12.596902175852675,13.129310818986854,12.0,16.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-05,82.75,109.27,109.55,200.52,124.4,104.54,606.74,527.55,943.33,998.65,536.1,670.01,106.07,143.57,50.07,120.63,92.97,108.92,184.12,72.15,100.94,252.44,556.57,266.86,572.62,88.56,2405.99,457.44,484.06,560.24,634.35,830.73,570.4,616.7,1209.33,1082.29,1383.36,1250.48,272.7,3202.97,115.94,192.26,181.36,228.33,444.14,74.69,106.93,229.03,463.84,348.61,872.39,96.19,11,14.262854251012145,15.0,15.0,16.0,20.0,16.0,16.0,16.0,15.0,16.596902175852676,16.752873879324568,16.0,19.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-06,87.14,80.84,112.52,177.25,105.45,110.29,626.44,560.77,1256.62,1561.54,634.01,911.0,287.3,154.09,77.42,142.04,153.53,143.29,158.96,210.71,263.34,674.51,915.47,461.28,888.43,206.09,2389.9,454.34,483.11,522.83,597.52,829.44,621.98,610.48,1186.89,1156.51,1463.41,1219.32,336.15,3289.49,135.79,213.26,208.56,314.89,419.22,93.99,138.72,342.35,489.11,543.2,1172.94,136.53,9,19.0,18.66093252971706,17.0,19.0,24.0,19.0,17.60978216452394,19.0,17.0,19.289867830928277,20.50574775864914,19.0,23.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-07,111.81,321.37,414.76,577.32,336.18,326.57,3154.81,2565.47,6008.11,5885.5,2418.82,2882.78,840.21,242.5,272.9,472.39,400.42,248.67,419.38,645.25,788.37,2107.72,2335.8,1545.07,1775.06,447.5,2170.25,505.93,529.57,605.77,570.49,806.89,704.18,700.76,1537.83,1430.76,1796.22,1547.47,368.31,3735.99,212.46,313.67,294.63,313.21,587.44,120.88,207.59,480.44,658.96,736.89,1340.68,180.92,12,22.0,22.0,19.0,22.0,27.0,21.554160078574803,20.0,21.0,19.0,22.49141674300194,24.129310818986855,21.0,26.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-08,106.32,356.85,500.36,756.65,435.73,422.58,3864.42,3208.32,7849.76,7541.95,3063.7,3640.17,963.49,306.43,332.65,540.19,455.68,287.71,486.29,830.17,1032.27,2682.81,2376.59,1602.11,1786.55,615.86,1760.68,509.63,526.04,663.88,552.11,820.62,758.18,844.21,1868.47,1782.39,1886.7,1820.4,447.04,3289.48,211.92,295.43,308.5,280.85,593.6,114.67,225.59,478.46,637.41,645.29,1271.62,208.05,10,22.0,22.66093252971706,20.0,24.0,26.0,21.855829479724,21.60978216452394,23.0,21.0,23.49141674300194,24.129310818986855,23.0,26.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-09,52.87,80.24,104.28,177.14,106.54,120.67,578.39,580.15,1320.43,1349.3,500.84,790.45,282.86,97.35,58.89,128.76,116.73,96.73,164.8,137.93,189.74,699.63,839.18,307.88,761.24,242.89,2387.06,430.19,468.75,553.28,596.59,826.98,599.45,654.12,1303.73,1188.85,1419.45,1252.54,373.62,3107.19,142.47,219.54,212.94,230.24,469.1,77.66,148.46,306.05,528.57,413.97,978.2,158.8,9,19.262854251012147,20.66093252971706,19.0,21.0,25.0,20.144170520276003,20.0,21.0,19.0,21.289867830928277,22.129310818986855,21.0,24.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-10,,,,,,,,,,,,,,,,,,,,,,,,,,,2647.73,425.18,449.78,552.42,621.16,853.36,521.44,577.59,1228.04,1033.05,1333.28,1056.58,174.93,3132.42,75.72,148.41,129.33,185.82,419.04,54.26,73.82,195.34,314.49,281.73,626.61,45.22,10,11.262854251012145,11.66093252971706,14.0,13.0,20.0,11.445839921425197,12.390217835476063,13.0,13.0,15.579735661856553,16.129310818986855,14.0,18.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-11,,,,,,,,,,,,,,,,,,,,,,,,,,,2497.97,303.67,378.21,402.77,526.95,718.18,426.21,410.87,829.46,676.4,1047.6,750.46,38.0,2323.3,40.95,90.95,70.84,139.52,241.72,37.58,37.64,94.06,141.97,198.01,285.21,3.35,10,7.525708502024291,7.66093252971706,11.0,9.0,16.0,7.0,8.390217835476063,9.0,10.0,12.088318918854615,11.50574775864914,11.0,13.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2016-12,,,,,,,,,,,,,,,,,,,,,,,,,,,2571.71,278.93,333.53,367.83,498.17,907.0,377.74,376.98,756.92,635.08,1253.44,748.66,32.85,2625.31,37.02,85.38,55.28,133.34,339.14,29.81,33.1,92.42,134.51,432.16,270.72,2.07,10,4.525708502024291,5.0,11.0,6.0,14.0,4.445839921425197,6.390217835476063,6.0,8.0,10.088318918854615,10.129310818986854,9.0,11.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-01,,,,,,,,,,,,,,,,,,,,,,,,,,,2422.07,248.85,308.47,319.66,450.35,559.9,353.95,339.41,619.64,565.87,1326.43,735.96,26.12,2322.5,32.72,73.79,52.24,89.97,181.19,34.69,29.51,75.47,112.21,602.37,264.37,2.42,9,0.5257085020242915,0.9827975891511803,8.0,4.0,10.0,0.30166940114919655,3.3902178354760633,3.0,6.0,6.395353263779012,5.5057477586491395,6.0,8.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-02,,,,,,,,,,,,,,,,,,,,,,,,,,,2123.11,272.01,361.2,381.27,460.06,623.39,370.95,391.25,795.44,678.06,1693.33,863.21,31.46,2156.76,32.6,94.07,51.68,112.95,218.78,30.35,28.29,78.7,134.86,652.27,284.86,2.31,9,6.525708502024291,7.66093252971706,10.0,9.0,14.0,7.0,8.0,8.0,9.0,11.088318918854615,10.75287387932457,10.0,12.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-03,,,,,,,,,,,,,,,,,,,,,,,,,,,2580.36,333.03,390.42,443.09,557.8,694.98,451.74,488.63,922.57,762.87,1570.79,980.81,45.68,2729.1,51.07,117.31,82.33,135.3,265.41,39.44,40.08,109.47,165.3,660.99,428.89,4.93,9,9.525708502024292,10.66093252971706,12.0,12.0,16.0,11.0,11.0,12.0,11.0,13.289867830928277,13.129310818986854,12.0,14.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-04,86.05,95.92,54.97,218.04,137.97,90.47,778.99,721.45,1258.1,1023.78,384.62,744.89,77.73,160.99,21.61,43.38,66.63,83.48,91.13,33.78,44.4,306.74,277.81,149.52,379.63,19.26,2471.69,428.11,431.36,570.99,612.36,774.96,573.52,607.0,1225.3,1006.39,1345.92,1245.49,162.45,3472.26,92.01,166.32,169.78,228.64,418.01,62.83,83.1,212.16,383.14,467.88,766.26,33.44,11,10.262854251012145,10.66093252971706,11.0,11.0,16.0,10.0,10.609782164523937,11.0,11.0,12.491416743001938,13.75287387932457,12.0,15.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
2017-05,88.99,118.16,123.57,228.34,149.64,120.87,669.04,644.29,1052.54,1048.14,559.16,688.36,112.2,126.67,46.55,100.46,82.57,101.05,145.21,70.33,95.11,261.22,358.94,193.12,358.06,67.13,2541.97,442.91,474.61,559.78,601.58,843.12,556.51,626.24,1202.36,1054.41,1310.82,1240.47,294.42,3401.73,121.04,177.5,191.92,200.95,401.93,78.33,98.95,215.28,456.77,356.12,851.62,81.82,11,14.525708502024292,15.66093252971706,15.0,17.0,19.0,16.0,15.609782164523937,16.0,15.0,17.49141674300194,17.752873879324568,17.0,18.0,14.0,3.0,8.0,3.0,5.0,7.0,5.0,4.0,5.0,13.0,11.0,7.0,5.0,3,5,1,3,1,7,3,4,2,5,6,0,3
