,region,periods,MAE,RMSE,Max_error,MASE
0,CVL,2,18.67835446549026,24.058957719813822,0.08855073156051854,0.9061297444448703
1,CVL,3,22.935219129108503,26.573539228170613,0.06517234742943459,0.9586298486565723
2,CVL,4,13.389392461338787,16.027405495647834,0.039578588133438224,0.7330962701832616
3,CVL,5,30.909648488131918,39.10074370678701,0.09777972196274903,1.4431397628884255
4,CVL,6,10.338522961032021,12.563125405214558,0.037208264881401755,0.7839638264289679
5,IDF,2,111.79274527873001,148.75982459256628,0.0485187306261339,2.151964169051091
6,IDF,3,230.49114373937164,282.70941327075695,0.08232748643429762,1.7453957422775948
7,IDF,4,135.1814378735628,153.87477642367008,0.05144774965049853,0.8642531604036049
8,IDF,5,232.2303229651527,293.2640819649583,0.09733188078123672,1.1221024495803666
9,IDF,6,375.6257240300769,472.24418589009576,0.1668890248913204,0.6629449684465162
10,NAQ,2,100.29440930470469,115.49159619601267,0.09139151976070554,2.2192711026100493
11,NAQ,3,81.04625223305727,108.5306915107817,0.0950227312317937,1.9061483806920274
12,NAQ,4,32.07382886273742,39.45082626000974,0.03565615773151592,0.9596478079957337
13,NAQ,5,76.1331866142027,87.1260915404289,0.05621029411420388,1.1949489756986889
14,NAQ,6,38.70767486613323,50.59600499242111,0.048897052781392385,0.8994812130007724
15,ARA,2,117.9888450192933,132.33670177155312,0.1025562545300026,1.8827005747453858
16,ARA,3,63.06042882845302,78.28172858704478,0.07366094959481419,0.8879666110554275
17,ARA,4,107.95189854772673,124.64410934429915,0.08174055785562996,1.0194961496656991
18,ARA,5,155.5292046835797,163.07789961313262,0.09376851786073628,1.5966178385571177
19,ARA,6,159.6179066553013,171.25520417649398,0.11156440599553803,1.7915472995712576
20,PAC,2,250.04703193009473,264.4796154698433,0.11045066124278728,5.368984527996024
21,PAC,3,122.39290305543773,135.945235704999,0.07106583729338763,1.8935522106457274
22,PAC,4,85.93388353549373,105.87797508164762,0.06381473289703062,1.036117800801725
23,PAC,5,121.98009142171854,130.19949926386073,0.0512993978151274,2.386579976620451
24,PAC,6,80.73059939301626,106.82154634085673,0.08310107174444792,0.8488798863648824
25,PDL,2,46.95428343859451,56.366344857671635,0.12129954755637531,1.9604446653322225
26,PDL,3,39.679842476484176,45.941830065542035,0.10684120276392033,1.7863074344155556
27,PDL,4,27.672548533908184,32.6615556618337,0.07176742775915902,1.400964360658559
28,PDL,5,52.84006888532978,59.65139667191683,0.11253307712349687,1.8635185641096734
29,PDL,6,27.484111363885077,31.597184339505077,0.07413490294079637,0.7776871333127895
30,BRE,2,67.11615122978141,75.75235433955632,0.12606391139568976,1.8939747313455395
31,BRE,3,30.04767531692004,38.08386120514173,0.0866027842592798,1.0538113859102192
32,BRE,4,24.598985978398762,32.31615673726944,0.07160269698581938,1.0563927700704472
33,BRE,5,40.99817488487346,47.40425305039546,0.06697892478534848,1.2950540909697053
34,BRE,6,19.633226965676155,23.051669384299135,0.047199777441251596,1.0890206322830454
35,OCC,2,44.343239263908536,55.40660987550705,0.047762544156132965,1.2852491936788137
36,OCC,3,77.88275430170675,97.4059118608401,0.07576798220092726,1.3303247571213768
37,OCC,4,61.285954964412355,75.54645031897549,0.05365148236405798,1.3498365720921182
38,OCC,5,26.72310029909126,35.24682443632817,0.028506055645010946,0.7832666607779358
39,OCC,6,33.442490690819376,39.39118651911454,0.037213430531357304,0.6734065313451557
40,COR,2,20.644755641470308,25.236246894727294,0.08104709264029689,1.9158384324309328
41,COR,3,13.283549364959379,15.5240003679861,0.04041658926325838,1.4857171439976937
42,COR,4,21.24383769127035,27.290185216518115,0.10320904585956178,1.489228019016499
43,COR,5,22.43011437774669,25.810669377352802,0.0670388428095107,1.3476261579780717
44,COR,6,14.342275714853544,20.700874041250223,0.06752058523715598,1.216048248274165
45,BFC,2,21.597291696023063,23.217640951074507,0.04528725783466581,1.0859276810201821
46,BFC,3,20.284499032652672,24.377819792625637,0.05494844904879837,1.1194535889984916
47,BFC,4,28.15285281558622,31.53431488344517,0.07098039046148245,1.4631826141757296
48,BFC,5,25.11541938466169,29.320458483776022,0.05999872103559501,0.8755084610037773
49,BFC,6,23.469632668139948,28.53933210011755,0.0627829830851768,1.2888321069818753
50,GES,2,81.87048832197223,91.81471188767006,0.09491834590614287,2.5062394384277216
51,GES,3,37.37568341817407,41.79456813131412,0.048722589835455236,1.065213635003179
52,GES,4,31.962289520775887,40.42185714754886,0.04689141412957632,0.8430355948859468
53,GES,5,22.261583641635315,26.47027294127301,0.04000240065810712,1.001570949683652
54,GES,6,38.9624577682247,47.01173965647568,0.06007870543730021,1.0408724442189192
55,HDF,2,22.026790141857422,27.933837643363546,0.06566832412847914,1.098501711006105
56,HDF,3,24.53255430830319,26.860224342430502,0.05788736587575227,1.205333490417779
57,HDF,4,22.08952219995538,25.236232045215953,0.05397607433000984,0.9348083876409389
58,HDF,5,11.611473486724833,16.109165932671164,0.03761996207144173,0.5041707922013899
59,HDF,6,23.81560208281968,25.328242681019503,0.04806085438556403,0.8762447493295609
60,NOR,2,29.52533074869696,35.3902848549645,0.0773439409846107,0.91407334430062
61,NOR,3,31.397068926814583,36.57721094006106,0.061400414043286305,1.0400398253237306
62,NOR,4,18.094562468253216,20.55118431742397,0.034069237717415664,0.7421634125817359
63,NOR,5,16.055658786200862,20.912079727225965,0.04723156660982113,0.6217299862351489
64,NOR,6,33.464692285117614,41.325191641674586,0.08909047238277742,1.076063955147275
