,region,periods,MAE,RMSE,Max_error,MASE
0,CVL,2,101.84471193841932,127.34921502866183,0.3401689472042597,4.940720178125129
1,CVL,3,16.868235938297214,19.403262196217426,0.052733979064920014,0.7050464342026
2,CVL,4,13.165598232001466,16.13999365867164,0.04531872925823753,0.7208430842908136
3,CVL,5,25.86005888553522,29.848861452361106,0.07772205061287034,1.2073796071372762
4,CVL,6,13.605493116444677,17.7784266393248,0.05311894160096449,1.0316961604886952
5,IDF,2,173.90931877868493,195.66996513136482,0.048797220574050025,3.347682550801614
6,IDF,3,119.35560640786836,154.1715122380103,0.045069211421163144,0.903821135430762
7,IDF,4,170.4664061955266,196.51444528507255,0.062395171858374995,1.089839941153199
8,IDF,5,211.25980706131676,281.76919560808415,0.0940299576323092,1.0207760294806567
9,IDF,6,410.88820170778985,481.5293190957894,0.15929689306804984,0.7251800089559504
10,IDF,2,173.90931877868493,195.66996513136482,0.048797220574050025,3.347682550801614
11,IDF,3,119.35560640786836,154.1715122380103,0.045069211421163144,0.903821135430762
12,IDF,4,170.4664061955266,196.51444528507255,0.062395171858374995,1.089839941153199
13,IDF,5,211.25980706131676,281.76919560808415,0.0940299576323092,1.0207760294806567
14,IDF,6,410.88820170778985,481.5293190957894,0.15929689306804984,0.7251800089559504
15,NAQ,2,361.8116153281739,430.68547269335795,0.310814198925321,8.006010185941777
16,NAQ,3,279.2004331600312,338.57098532393576,0.22826425551762805,6.566589310337444
17,NAQ,4,46.85149984888529,56.77996995244665,0.04879984699572088,1.4017951933244153
18,NAQ,5,71.54421432366591,81.78268846423066,0.06413996641968649,1.1229227282505934
19,NAQ,6,46.70038163626649,52.55737107152229,0.03242055705871703,1.0852141356219946
20,ARA,2,121.472125470819,141.34732047651264,0.10165933129256091,1.9382818808172815
21,ARA,3,74.11617179756543,96.4857501328617,0.0942656214680496,1.0436447565956162
22,ARA,4,145.98556754346728,173.1407859756643,0.14428210873475925,1.3786855629178825
23,ARA,5,122.88807065399402,136.92501376179962,0.09213007349672038,1.2615333959381394
24,ARA,6,63.475496629925864,85.72056127686643,0.07603757052043658,0.7124473497943298
25,PAC,2,621.1484866571199,715.8602079101273,0.3113529961774979,13.337237353741372
26,PAC,3,595.2575058525075,667.5669445535179,0.29106654278842736,9.209285325963187
27,PAC,4,448.3435234545495,536.2608206312148,0.24856338143127318,5.405745515196627
