,avgtemp_BRE,avgtemp_COR,avgtemp_CVL,avgtemp_IDF,avgtemp_PDL,avgtemp_PAC,avgtemp_NOR,avgtemp_GES,avgtemp_NAQ,avgtemp_ARA,avgtemp_BFC,avgtemp_OCC,avgtemp_HDF
2010-01-01,6.0,10.0,2.0,2.0,4.0,5.0,4.0,-0.5541587589016768,4.886770006780951,-0.4742914979757085,0.3218650594341202,4.129310818986856,2.0
2010-02-01,7.0,11.0,4.0,4.0,7.0,7.0,6.0,2.3016732540525484,6.088318918854612,1.5257085020242915,2.32186505943412,5.129310818986856,4.0
2010-03-01,8.0,12.0,7.0,8.0,8.0,9.0,8.0,6.301673254052548,9.088318918854617,4.525708502024291,6.321865059434121,7.752873879324571,7.390217835476062
2010-04-01,12.0,15.0,12.0,12.0,13.0,14.0,11.0,11.0,13.781284573930217,10.262854251012143,11.660932529717062,13.75287387932457,11.0
2010-05-01,13.0,18.0,14.0,14.0,14.0,17.0,13.0,12.445841241098325,14.596902175852675,12.0,12.660932529717062,15.129310818986854,13.0
2010-06-01,18.0,21.0,19.0,19.0,19.0,21.0,17.0,17.855832012954224,19.59690217585268,16.26285425101215,17.66093252971706,19.752873879324568,18.0
2010-07-01,20.0,27.0,22.0,22.0,22.0,26.0,20.0,21.855832012954224,22.798451087926345,21.26285425101215,21.66093252971706,24.12931081898685,20.609782164523946
2010-08-01,18.0,26.0,20.0,20.0,20.0,24.0,18.0,19.0,21.28986783092828,19.0,19.0,22.752873879324568,18.609782164523946
2010-09-01,17.0,22.0,17.0,17.0,18.0,20.0,17.0,14.855832012954226,18.59690217585268,15.0,15.0,18.752873879324568,16.0
2010-10-01,14.0,18.0,13.0,13.0,14.0,15.0,13.0,10.445841241098323,15.088318918854617,10.262854251012143,10.66093252971706,14.129310818986854,12.390217835476065
2010-11-01,10.0,15.0,8.0,8.0,10.0,11.0,9.0,6.4458412410983215,9.886770006780953,5.262854251012146,6.660932529717059,9.129310818986854,7.390217835476062
2010-12-01,5.0,11.0,1.0,1.0,4.0,6.0,3.0,-1.0,4.886770006780951,-0.4742914979757085,-0.3390674702829399,4.5057477586491395,0.3902178354760633
2011-01-01,8.0,10.0,5.0,5.0,7.0,7.0,6.0,3.3016732540525484,7.088318918854612,1.5257085020242915,3.32186505943412,6.129310818986856,4.390217835476063
2011-02-01,10.0,11.0,7.0,7.0,10.0,9.0,8.0,4.445841241098323,9.395353263779011,4.525708502024291,5.660932529717059,8.129310818986854,7.0
2011-03-01,10.0,12.0,10.0,10.0,11.0,11.0,9.0,8.855832012954227,11.289867830928275,7.262854251012146,8.660932529717059,10.376436939662284,9.0
2011-04-01,14.0,16.0,15.0,16.0,15.0,16.0,14.0,14.855832012954226,16.491416743001942,13.0,14.660932529717062,16.376436939662284,15.0
2011-05-01,14.0,20.0,16.0,16.0,16.0,20.0,14.0,17.0,18.491416743001945,16.0,16.339067470282938,19.376436939662284,15.609782164523935
2011-06-01,16.0,23.0,18.0,18.0,18.0,22.0,16.0,18.0,19.28986783092828,17.0,17.0,19.752873879324568,17.0
2011-07-01,17.0,25.0,18.0,18.0,18.0,23.0,17.0,17.0,19.59690217585268,17.0,17.0,21.12931081898685,17.0
2011-08-01,18.0,26.0,20.0,20.0,20.0,25.0,18.0,20.0,21.98283348600388,20.0,20.0,23.752873879324568,19.0
2011-09-01,18.0,24.0,19.0,19.0,19.0,22.0,18.0,17.855832012954224,20.28986783092828,17.26285425101215,17.66093252971706,21.12931081898685,18.0
2011-10-01,16.0,19.0,15.0,15.0,17.0,18.0,15.0,12.445841241098325,17.088318918854615,12.262854251012143,12.660932529717062,17.129310818986855,14.0
2011-11-01,14.0,16.0,12.0,11.0,14.0,14.0,12.0,8.445841241098321,14.088318918854617,9.262854251012143,9.66093252971706,13.129310818986854,10.390217835476065
2011-12-01,11.0,13.0,8.0,8.0,11.0,9.0,10.0,5.445841241098323,10.19380435170535,3.788562753036437,5.3218650594341215,8.50574775864914,7.390217835476062
2012-01-01,9.0,11.0,7.0,7.0,9.0,8.0,8.0,4.301673254052548,8.395353263779013,2.525708502024292,4.3218650594341215,7.129310818986856,6.390217835476062
2012-02-01,7.0,8.0,2.0,3.0,4.0,5.0,4.0,-0.10831751780335347,3.1938043517053503,-1.7371457489878543,-0.01720241084881969,2.505747758649139,3.0
2012-03-01,12.0,14.0,11.0,12.0,12.0,13.0,11.0,10.301673254052547,12.289867830928275,8.262854251012143,9.66093252971706,11.75287387932457,11.0
2012-04-01,10.0,15.0,10.0,10.0,10.0,14.0,10.0,10.0,11.289867830928275,9.0,9.66093252971706,11.505747758649141,9.0
2012-05-01,14.0,19.0,16.0,16.0,15.0,18.0,14.0,16.0,17.289867830928277,15.0,15.0,17.376436939662284,15.0
2012-06-01,16.0,24.0,17.0,17.0,18.0,23.0,16.0,17.144167987045776,19.982833486003877,18.73714574898785,18.0,21.752873879324564,16.0
2012-07-01,18.0,26.0,19.0,19.0,19.0,25.0,17.0,18.590009228144094,20.491416743001945,19.0,18.66093252971706,22.12931081898685,18.0
2012-08-01,19.0,28.0,21.0,21.0,21.0,26.0,19.0,20.590009228144094,22.98283348600388,21.0,20.66093252971706,24.752873879324568,20.0
2012-09-01,17.0,23.0,17.0,17.0,18.0,21.0,17.0,16.0,19.28986783092828,15.262854251012143,16.0,19.12931081898685,16.39021783547606
2012-10-01,15.0,20.0,14.0,14.0,15.0,17.0,14.0,11.855832012954226,16.289867830928277,12.262854251012143,12.660932529717062,16.129310818986855,13.0
2012-11-01,11.0,16.0,9.0,9.0,11.0,13.0,10.0,7.0,11.395353263779011,7.262854251012146,7.660932529717059,11.129310818986854,8.390217835476061
2012-12-01,10.0,12.0,7.0,7.0,10.0,8.0,9.0,3.891682482196648,9.19380435170535,2.7885627530364374,4.3218650594341215,7.129310818986856,6.390217835476062
2013-01-01,8.0,11.0,4.0,4.0,7.0,7.0,6.0,1.5900092281440985,6.886770006780951,1.5257085020242915,2.32186505943412,6.129310818986856,3.390217835476064
2013-02-01,7.0,9.0,4.0,4.0,6.0,6.0,5.0,1.4458412410983232,6.886770006780951,-0.4742914979757085,1.3218650594341201,5.129310818986856,3.390217835476064
2013-03-01,8.0,12.0,7.0,6.0,8.0,10.0,6.0,4.445841241098323,10.088318918854617,5.262854251012146,5.660932529717059,9.129310818986854,5.0
2013-04-01,10.0,16.0,11.0,11.0,11.0,14.0,10.0,10.0,12.289867830928275,10.0,10.66093252971706,11.75287387932457,9.609782164523935
2013-05-01,13.0,18.0,13.0,13.0,14.0,16.0,12.0,12.0,13.596902175852675,11.0,11.660932529717062,14.129310818986854,12.0
2013-06-01,16.0,22.0,18.0,18.0,18.0,21.0,16.0,17.445841241098325,18.0,17.0,17.66093252971706,19.12931081898685,17.0
2013-07-01,21.0,26.0,23.0,23.0,23.0,26.0,20.0,22.855832012954224,24.49141674300195,22.0,22.66093252971706,25.376436939662284,21.60978216452394
2013-08-01,20.0,27.0,22.0,22.0,22.0,26.0,20.0,21.0,23.289867830928287,20.0,21.0,24.12931081898685,21.0
2013-09-01,19.0,25.0,19.0,19.0,20.0,22.0,19.0,17.445841241098325,21.28986783092828,17.26285425101215,17.66093252971706,20.752873879324568,18.0
2013-10-01,17.0,22.0,16.0,16.0,18.0,19.0,16.0,14.445841241098325,18.088318918854615,14.262854251012143,14.660932529717062,17.752873879324568,15.0
2013-11-01,12.0,16.0,8.0,9.0,11.0,12.0,10.0,6.4458412410983215,10.19380435170535,5.262854251012146,6.321865059434121,9.505747758649141,8.390217835476061
2013-12-01,11.0,13.0,7.0,7.0,9.0,10.0,9.0,5.445841241098323,9.395353263779011,3.525708502024292,5.3218650594341215,8.50574775864914,7.390217835476062
2014-01-01,11.0,13.0,8.0,8.0,10.0,10.0,9.0,5.445841241098323,10.395353263779011,4.525708502024291,6.321865059434121,9.129310818986854,7.390217835476062
2014-02-01,10.0,13.0,8.0,8.0,10.0,10.0,9.0,6.4458412410983215,9.886770006780953,4.525708502024291,6.321865059434121,8.50574775864914,7.390217835476062
2014-03-01,11.0,14.0,12.0,12.0,12.0,13.0,11.0,10.445841241098323,12.596902175852675,8.525708502024292,10.0,11.75287387932457,11.0
2014-04-01,13.0,17.0,14.0,15.0,14.0,17.0,13.0,14.855832012954226,15.491416743001938,13.0,14.0,15.75287387932457,14.0
2014-05-01,15.0,20.0,16.0,16.0,16.0,19.0,15.0,16.0,16.798451087926342,14.0,15.660932529717062,17.129310818986855,16.0
