,NbDaysOff
2016-01-01,11
2016-02-01,9
2016-03-01,10
2016-04-01,10
2016-05-01,11
2016-06-01,9
2016-07-01,12
2016-08-01,10
2016-09-01,9
2016-10-01,10
2016-11-01,10
2016-12-01,10
2017-01-01,9
2017-02-01,9
2017-03-01,9
2017-04-01,11
2017-05-01,11
2017-06-01,10
2017-07-01,11
2017-08-01,10
2017-09-01,10
2017-10-01,9
2017-11-01,9
2017-12-01,12
2018-01-01,9
2018-02-01,9
2018-03-01,10
2018-04-01,10
2018-05-01,12
2018-06-01,10
2018-07-01,9
2018-08-01,10
2018-09-01,10
2018-10-01,9
2018-11-01,9
2018-12-01,11
2019-01-01,9
2019-02-01,9
2019-03-01,11
2019-04-01,10
2019-05-01,11
2019-06-01,11
2019-07-01,9
2019-08-01,11
2019-09-01,9
2019-10-01,9
2019-11-01,11
2019-12-01,10
