,date,gdp_ARA,gdp_BFC,gdp_BRE,gdp_CVL,gdp_COR,gdp_GES,gdp_HDF,gdp_IDF,gdp_NOR,gdp_NAQ,gdp_OCC,gdp_PDL,gdp_PAC
0,2010-01-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
1,2010-02-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
2,2010-03-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
3,2010-04-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
4,2010-05-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
5,2010-06-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
6,2010-07-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
7,2010-08-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
8,2010-09-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
9,2010-10-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
10,2010-11-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
11,2010-12-01,225165.722898117,70109.28450409186,81299.45068366289,65690.5012057491,7923.515906891832,142866.82203058086,144983.73963221099,609979.4849318295,85549.67184347141,148172.23962077498,140183.73384580205,96709.07374545533,143112.5758656397
12,2011-01-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
13,2011-02-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
14,2011-03-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
15,2011-04-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
16,2011-05-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
17,2011-06-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
18,2011-07-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
19,2011-08-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
20,2011-09-01,235357.20789589698,72588.2907178991,85011.05511126202,67831.191045608,8250.710059272176,148739.0874226534,150222.93317743886,615750.0767016857,88601.97414122339,154505.32671581634,146556.84717639908,101976.3844633935,146235.11180931993
